date,product_id,product_name,category,units_sold,revenue,channel
2024-04-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,193,8685000,온라인
2024-04-01,SKU-B002,겨울 코트 블랙 L,코트,115,32200000,오프라인
2024-04-01,SKU-C003,기본 양말 3족 세트,잡화,347,3123000,온라인
2024-05-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,202,9090000,온라인
2024-05-01,SKU-B002,겨울 코트 블랙 L,코트,70,19600000,오프라인
2024-05-01,SKU-C003,기본 양말 3족 세트,잡화,578,5202000,온라인
2024-06-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,237,10665000,온라인
2024-06-01,SKU-B002,겨울 코트 블랙 L,코트,48,13440000,오프라인
2024-06-01,SKU-C003,기본 양말 3족 세트,잡화,368,3312000,온라인
2024-07-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,254,11430000,온라인
2024-07-01,SKU-B002,겨울 코트 블랙 L,코트,52,14560000,오프라인
2024-07-01,SKU-C003,기본 양말 3족 세트,잡화,478,4302000,온라인
2024-08-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,322,14490000,온라인
2024-08-01,SKU-B002,겨울 코트 블랙 L,코트,42,11760000,오프라인
2024-08-01,SKU-C003,기본 양말 3족 세트,잡화,346,3114000,온라인
2024-09-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,270,12150000,온라인
2024-09-01,SKU-B002,겨울 코트 블랙 L,코트,29,8120000,오프라인
2024-09-01,SKU-C003,기본 양말 3족 세트,잡화,529,4761000,온라인
2024-10-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,223,10035000,온라인
2024-10-01,SKU-B002,겨울 코트 블랙 L,코트,53,14840000,오프라인
2024-10-01,SKU-C003,기본 양말 3족 세트,잡화,558,5022000,온라인
2024-11-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,246,11070000,온라인
2024-11-01,SKU-B002,겨울 코트 블랙 L,코트,71,19880000,오프라인
2024-11-01,SKU-C003,기본 양말 3족 세트,잡화,597,5373000,온라인
2024-12-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,222,9990000,온라인
2024-12-01,SKU-B002,겨울 코트 블랙 L,코트,114,31920000,오프라인
2024-12-01,SKU-C003,기본 양말 3족 세트,잡화,607,5463000,온라인
2025-01-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,232,10440000,온라인
2025-01-01,SKU-B002,겨울 코트 블랙 L,코트,142,39760000,오프라인
2025-01-01,SKU-C003,기본 양말 3족 세트,잡화,398,3582000,온라인
2025-02-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,237,10665000,온라인
2025-02-01,SKU-B002,겨울 코트 블랙 L,코트,152,42560000,오프라인
2025-02-01,SKU-C003,기본 양말 3족 세트,잡화,460,4140000,온라인
2025-03-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,183,8235000,온라인
2025-03-01,SKU-B002,겨울 코트 블랙 L,코트,123,34440000,오프라인
2025-03-01,SKU-C003,기본 양말 3족 세트,잡화,565,5085000,온라인
2025-04-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,254,11430000,온라인
2025-04-01,SKU-B002,겨울 코트 블랙 L,코트,116,32480000,오프라인
2025-04-01,SKU-C003,기본 양말 3족 세트,잡화,388,3492000,온라인
2025-05-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,255,11475000,온라인
2025-05-01,SKU-B002,겨울 코트 블랙 L,코트,91,25480000,오프라인
2025-05-01,SKU-C003,기본 양말 3족 세트,잡화,454,4086000,온라인
2025-06-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,286,12870000,온라인
2025-06-01,SKU-B002,겨울 코트 블랙 L,코트,46,12880000,오프라인
2025-06-01,SKU-C003,기본 양말 3족 세트,잡화,629,5661000,온라인
2025-07-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,264,11880000,온라인
2025-07-01,SKU-B002,겨울 코트 블랙 L,코트,32,8960000,오프라인
2025-07-01,SKU-C003,기본 양말 3족 세트,잡화,440,3960000,온라인
2025-08-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,292,13140000,온라인
2025-08-01,SKU-B002,겨울 코트 블랙 L,코트,27,7560000,오프라인
2025-08-01,SKU-C003,기본 양말 3족 세트,잡화,323,2907000,온라인
2025-09-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,321,14445000,온라인
2025-09-01,SKU-B002,겨울 코트 블랙 L,코트,40,11200000,오프라인
2025-09-01,SKU-C003,기본 양말 3족 세트,잡화,528,4752000,온라인
2025-10-01,SKU-A001,라이트 셔츠 화이트 M,셔츠,306,13770000,온라인
2025-10-01,SKU-B002,겨울 코트 블랙 L,코트,52,14560000,오프라인
