date,product_id,product_name,on_hand,on_order,reorder_point,lead_time_days
2024-04-01,SKU-A001,라이트 셔츠 화이트 M,334,110,132,14
2024-04-01,SKU-B002,겨울 코트 블랙 L,124,40,48,21
2024-04-01,SKU-C003,기본 양말 3족 세트,896,250,300,7
2024-05-01,SKU-A001,라이트 셔츠 화이트 M,360,0,132,14
2024-05-01,SKU-B002,겨울 코트 블랙 L,110,0,48,21
2024-05-01,SKU-C003,기본 양말 3족 세트,692,0,300,7
2024-06-01,SKU-A001,라이트 셔츠 화이트 M,343,0,132,14
2024-06-01,SKU-B002,겨울 코트 블랙 L,104,0,48,21
2024-06-01,SKU-C003,기본 양말 3족 세트,765,0,300,7
2024-07-01,SKU-A001,라이트 셔츠 화이트 M,302,110,132,14
2024-07-01,SKU-B002,겨울 코트 블랙 L,118,40,48,21
2024-07-01,SKU-C003,기본 양말 3족 세트,711,250,300,7
2024-08-01,SKU-A001,라이트 셔츠 화이트 M,405,0,132,14
2024-08-01,SKU-B002,겨울 코트 블랙 L,126,0,48,21
2024-08-01,SKU-C003,기본 양말 3족 세트,884,0,300,7
2024-09-01,SKU-A001,라이트 셔츠 화이트 M,320,0,132,14
2024-09-01,SKU-B002,겨울 코트 블랙 L,87,0,48,21
2024-09-01,SKU-C003,기본 양말 3족 세트,740,0,300,7
2024-10-01,SKU-A001,라이트 셔츠 화이트 M,290,110,132,14
2024-10-01,SKU-B002,겨울 코트 블랙 L,88,40,48,21
2024-10-01,SKU-C003,기본 양말 3족 세트,551,250,300,7
2024-11-01,SKU-A001,라이트 셔츠 화이트 M,270,0,132,14
2024-11-01,SKU-B002,겨울 코트 블랙 L,106,0,48,21
2024-11-01,SKU-C003,기본 양말 3족 세트,673,0,300,7
2024-12-01,SKU-A001,라이트 셔츠 화이트 M,381,0,132,14
2024-12-01,SKU-B002,겨울 코트 블랙 L,118,0,48,21
2024-12-01,SKU-C003,기본 양말 3족 세트,736,0,300,7
2025-01-01,SKU-A001,라이트 셔츠 화이트 M,225,110,132,14
2025-01-01,SKU-B002,겨울 코트 블랙 L,115,40,48,21
2025-01-01,SKU-C003,기본 양말 3족 세트,745,250,300,7
2025-02-01,SKU-A001,라이트 셔츠 화이트 M,242,0,132,14
2025-02-01,SKU-B002,겨울 코트 블랙 L,116,0,48,21
2025-02-01,SKU-C003,기본 양말 3족 세트,681,0,300,7
2025-03-01,SKU-A001,라이트 셔츠 화이트 M,322,0,132,14
2025-03-01,SKU-B002,겨울 코트 블랙 L,146,0,48,21
2025-03-01,SKU-C003,기본 양말 3족 세트,552,0,300,7
2025-04-01,SKU-A001,라이트 셔츠 화이트 M,412,110,132,14
2025-04-01,SKU-B002,겨울 코트 블랙 L,106,40,48,21
2025-04-01,SKU-C003,기본 양말 3족 세트,721,250,300,7
2025-05-01,SKU-A001,라이트 셔츠 화이트 M,277,0,132,14
2025-05-01,SKU-B002,겨울 코트 블랙 L,133,0,48,21
2025-05-01,SKU-C003,기본 양말 3족 세트,724,0,300,7
2025-06-01,SKU-A001,라이트 셔츠 화이트 M,371,0,132,14
2025-06-01,SKU-B002,겨울 코트 블랙 L,79,0,48,21
2025-06-01,SKU-C003,기본 양말 3족 세트,750,0,300,7
2025-07-01,SKU-A001,라이트 셔츠 화이트 M,291,110,132,14
2025-07-01,SKU-B002,겨울 코트 블랙 L,131,40,48,21
2025-07-01,SKU-C003,기본 양말 3족 세트,661,250,300,7
2025-08-01,SKU-A001,라이트 셔츠 화이트 M,393,0,132,14
2025-08-01,SKU-B002,겨울 코트 블랙 L,90,0,48,21
2025-08-01,SKU-C003,기본 양말 3족 세트,545,0,300,7
2025-09-01,SKU-A001,라이트 셔츠 화이트 M,415,0,132,14
2025-09-01,SKU-B002,겨울 코트 블랙 L,130,0,48,21
2025-09-01,SKU-C003,기본 양말 3족 세트,698,0,300,7
2025-10-01,SKU-A001,라이트 셔츠 화이트 M,315,110,132,14
2025-10-01,SKU-B002,겨울 코트 블랙 L,121,40,48,21
2025-10-01,SKU-C003,기본 양말 3족 세트,753,250,300,7
2025-11-01,SKU-A001,라이트 셔츠 화이트 M,224,0,132,14
2025-11-01,SKU-B002,겨울 코트 블랙 L,112,0,48,21
2025-11-01,SKU-C003,기본 양말 3족 세트,636,0,300,7
2025-12-01,SKU-A001,라이트 셔츠 화이트 M,276,0,132,14
2025-12-01,SKU-B002,겨울 코트 블랙 L,112,0,48,21
2025-12-01,SKU-C003,기본 양말 3족 세트,759,0,300,7
2026-01-01,SKU-A001,라이트 셔츠 화이트 M,317,110,132,14
2026-01-01,SKU-B002,겨울 코트 블랙 L,142,40,48,21
2026-01-01,SKU-C003,기본 양말 3족 세트,667,250,300,7
2026-02-01,SKU-A001,라이트 셔츠 화이트 M,302,0,132,14
2026-02-01,SKU-B002,겨울 코트 블랙 L,118,0,48,21
2026-02-01,SKU-C003,기본 양말 3족 세트,566,0,300,7
2026-03-01,SKU-A001,라이트 셔츠 화이트 M,354,0,132,14
2026-03-01,SKU-B002,겨울 코트 블랙 L,98,0,48,21
2026-03-01,SKU-C003,기본 양말 3족 세트,710,0,300,7
