date,fx_krw_usd,oil_index_usd,apparel_cost_index
2023-04-01,1346.5,80.25,100.09
2023-05-01,1315.9,84.23,100.45
2023-06-01,1301.9,85.44,104.26
2023-07-01,1322.0,87.61,102.55
2023-08-01,1312.3,84.74,101.74
2023-09-01,1297.1,82.95,101.42
2023-10-01,1308.0,94.11,100.75
2023-11-01,1337.1,87.02,98.51
2023-12-01,1354.9,86.35,99.08
2024-01-01,1351.0,84.47,98.27
2024-02-01,1339.9,81.22,100.0
2024-03-01,1327.3,76.52,101.61
2024-04-01,1313.8,73.85,109.08
2024-05-01,1296.3,73.19,107.82
2024-06-01,1291.7,75.2,109.99
2024-07-01,1298.8,71.56,108.51
2024-08-01,1298.0,62.83,111.03
2024-09-01,1260.0,66.59,110.33
2024-10-01,1287.0,62.51,108.27
2024-11-01,1274.0,63.37,111.15
2024-12-01,1282.1,64.12,109.03
2025-01-01,1288.3,65.41,105.43
2025-02-01,1253.7,73.55,106.69
2025-03-01,1260.5,78.94,109.46
2025-04-01,1224.4,75.1,110.53
2025-05-01,1242.6,71.92,116.03
2025-06-01,1266.8,71.25,112.68
2025-07-01,1294.8,80.12,113.71
2025-08-01,1309.1,83.12,111.02
2025-09-01,1351.6,86.5,109.18
2025-10-01,1341.8,79.97,109.66
2025-11-01,1356.3,83.37,109.25
2025-12-01,1368.0,83.91,111.04
2026-01-01,1331.2,79.74,110.28
2026-02-01,1313.2,74.15,112.8
2026-03-01,1273.8,73.25,114.94
