date,product_id,qty_purchased,unit_cost_krw,supplier_country
2023-04-01,SKU-A001-COTTON,244,19712.0,VN
2023-04-01,SKU-B002-WOOL,129,98258.0,KR
2023-04-01,SKU-C003-POLY,522,2398.0,CN
2023-05-01,SKU-A001-COTTON,212,18402.0,VN
2023-05-01,SKU-B002-WOOL,93,104159.0,KR
2023-05-01,SKU-C003-POLY,475,2199.0,CN
2023-06-01,SKU-A001-COTTON,257,19162.0,VN
2023-06-01,SKU-B002-WOOL,85,93434.0,KR
2023-06-01,SKU-C003-POLY,656,2613.0,CN
2023-07-01,SKU-A001-COTTON,245,19841.0,VN
2023-07-01,SKU-B002-WOOL,58,99486.0,KR
2023-07-01,SKU-C003-POLY,617,2115.0,CN
2023-08-01,SKU-A001-COTTON,306,18700.0,VN
2023-08-01,SKU-B002-WOOL,65,93249.0,KR
2023-08-01,SKU-C003-POLY,702,2291.0,CN
2023-09-01,SKU-A001-COTTON,304,17353.0,VN
2023-09-01,SKU-B002-WOOL,75,99138.0,KR
2023-09-01,SKU-C003-POLY,819,2223.0,CN
2023-10-01,SKU-A001-COTTON,242,18851.0,VN
2023-10-01,SKU-B002-WOOL,78,105686.0,KR
2023-10-01,SKU-C003-POLY,708,2276.0,CN
2023-11-01,SKU-A001-COTTON,281,17857.0,VN
2023-11-01,SKU-B002-WOOL,101,98226.0,KR
2023-11-01,SKU-C003-POLY,683,2313.0,CN
2023-12-01,SKU-A001-COTTON,258,19369.0,VN
2023-12-01,SKU-B002-WOOL,107,88609.0,KR
2023-12-01,SKU-C003-POLY,619,2636.0,CN
2024-01-01,SKU-A001-COTTON,214,18660.0,VN
2024-01-01,SKU-B002-WOOL,131,93064.0,KR
2024-01-01,SKU-C003-POLY,439,2180.0,CN
2024-02-01,SKU-A001-COTTON,253,16509.0,VN
2024-02-01,SKU-B002-WOOL,124,95082.0,KR
2024-02-01,SKU-C003-POLY,374,2477.0,CN
2024-03-01,SKU-A001-COTTON,173,18505.0,VN
2024-03-01,SKU-B002-WOOL,132,81985.0,KR
2024-03-01,SKU-C003-POLY,541,2629.0,CN
2024-04-01,SKU-A001-COTTON,207,18223.0,VN
2024-04-01,SKU-B002-WOOL,116,103269.0,KR
2024-04-01,SKU-C003-POLY,680,2513.0,CN
2024-05-01,SKU-A001-COTTON,243,18006.0,VN
